course,title,students,info
110,PROGRAMMING I (Syllabus),270,College Station
111,CPSC CONCEPTS & PROGRAM (Syllabus) ,90,College Station
121,INTRO PGM DESIGN CONCEPT ,552,College Station and NonTraditional Format Approved
181,INTRO TO COMPUTING ,194,College Station and NonTraditional Format Exclude and First Year Seminars
206,STRUCTURED PROG IN C,90,College Station
221,DATA STRUC & ALGORITHM (Syllabus) ,460,College Station
221,DATA STRUC & ALGORITHM ,460,College Station
222,HNR-DISCRETE STRUC COMPUTING (Syllabus) ,263,College Station and Honors and NonTraditional Format Approved
222,DISCRETE STRUC COMPUTING ,263,College Station and NonTraditional Format Approved
291,RESEARCH ,1,College Station and NonTraditional Format Exclude and 3peat Exclusion
310,DATABASE SYSTEMS(Syllabus) ,55,College Station
312,HNR-COMPUTER ORGANIZATION ,268,College Station and Honors
312,COMPUTER ORGANIZATION ,268,College Station
313,HNR-INTRO TO COMPUTER SYSTEM ,200,College Station and Honors
313,INTRO TO COMPUTER SYSTEM ,200,College Station
314,PROGRAMMING LANGUAGES ,270,College Station
314,PROGRAMMING LANGUAGES (Syllabus) ,270,College Station
315,PROGRAMMING STUDIO ,176,College Station
410,OPERATING SYSTEMS(Syllabus) ,55,College Station and NonTraditional Format Approved
411,DESIGN ANALY ALGORITHMS (Syllabus) ,200,College Station and NonTraditional Format Approved
411,DESIGN ANALY ALGORITHMS ,200,College Station and NonTraditional Format Approved
420,ARTIFICIAL INTELLIGENCE ,90,College Station
431,SOFTWARE ENGINEERING ,120,College Station and NonTraditional Format Approved
431,SOFTWARE ENGINEERING-SINGAPORE (Syllabus) ,120,NonTraditional Format Approved and Study Abroad
433,FORMAL LANGUAGES AUTOM ,30,College Station
436,COMP HUMAN INTERACTION ,82,College Station
438,HNR-DIST OBJECTS PROGRAMMING ,55,College Station and Honors
438,DIST OBJECTS PROGRAMMING ,55,College Station and Open Education Resources
440,QUANTUM ALGORITHMS ,15,College Station
441,HNR-COMPUTER GRAPHICS ,55,College Station and Honors
441,COMPUTER GRAPHICS ,55,College Station
443,GAME DEVELOPMENT ,10,College Station
445,HNR-COMPUTERS AND NEW MEDIA ,55,College Station and Honors
445,COMPUTERS AND NEW MEDIA ,55,College Station
451,HNR-SOFTWRE REVERSE ENGINEERNG ,40,College Station and Honors
451,SOFTWARE REVERSE ENGINEERING ,40,College Station
462,MICROCOMPUTER SYSTEMS ,52,College Station and Lab Safety Acknowledgment
463,HNR-NETWORKS & DIST PROC ,35,Honors
463,NETWORKS & DIST PROC ,35,College Station
465,HNR-COMP & NET SECURITY ,90,College Station and Honors
465,COMP & NET SECURITY ,90,College Station
470,INFO STORAGE & RETRIEVAL ,150,College Station
481,SEMINAR ,270,College Station and LMTD and NonTraditional Format Exclude
482,SR CAPSTONE DESIGN ,120,College Station and LMTD and Capstone
482,SR CAPSTONE DESIGN(Syllabus) ,120,College Station and LMTD and Capstone
483,COMPUTER SYS DESIGN ,60,College Station and Capstone
485,DIRECTED STUDIES ,0,College Station and LMTD and NonTraditional Format Exclude and 3peat Exclusion
489,HNR: SPTP: PROBLM SOLVNG PROGM (Syllabus) ,148,College Station and Honors and NonTraditional Format Exclude and 3peat Exclusion
489,HNR: SPTP: MACHINE LEARNING ,148,College Station and Honors and NonTraditional Format Exclude and 3peat Exclusion
489,SPTP: MACHINE LEARNING ,148,College Station and NonTraditional Format Exclude and 3peat Exclusion
489,SPTP: PROBLEM SOLVING PROGRAM(Syllabus) ,148,College Station and NonTraditional Format Exclude and 3peat Exclusion
489,SPTP: LAW AND POLICY IN CYBER (Syllabus) ,148,College Station and NonTraditional Format Exclude and 3peat Exclusion
489,SPTP: LAW AND POLICY IN CYBER (Syllabus) ,148,Distance Education and NonTraditional Format Exclude and 3peat Exclusion
491,HNR-RESEARCH ,48,College Station and Honors and LMTD and NonTraditional Format Exclude and Research and 3peat Exclusion
491,HNR-RESEARCH ,48,College Station and Honors and LMTD and NonTraditional Format Exclude and 3peat Exclusion
491,RESEARCH ,48,College Station and LMTD and NonTraditional Format Exclude and 3peat Exclusion
491,RESEARCH ,48,College Station and LMTD and NonTraditional Format Exclude and Research and 3peat Exclusion
491,HNR-RESEARCH ,48,College Station and Honors and LMTD and NonTraditional Format Exclude and Univ Req-Writing Intensive and 3peat Exclusion
